Setup sorting test array at 0x300: [ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
Loaded ROM: 3584 bytes
First instruction: 0xD2B1
Cycle 428: Executing 0x0000 at PC=0x1FB
Cycle 429: Executing 0x0000 at PC=0x1FD
Cycle 432: Executing 0x0000 at PC=0x1AF
Cycle 433: Executing 0x0000 at PC=0x1B1
Cycle 434: Executing 0x0000 at PC=0x1B3
Cycle 435: Executing 0x0000 at PC=0x1B5
Cycle 436: Executing 0x0000 at PC=0x1B7
Cycle 437: Executing 0x0000 at PC=0x1B9
Cycle 438: Executing 0x0000 at PC=0x1BB
Cycle 439: Executing 0x0000 at PC=0x1BD
Cycle 440: Executing 0x0000 at PC=0x1BF
Cycle 441: Executing 0x0000 at PC=0x1C1
Cycle 442: Executing 0x0000 at PC=0x1C3
Cycle 443: Executing 0x0000 at PC=0x1C5
Cycle 444: Executing 0x0000 at PC=0x1C7
Cycle 445: Executing 0x0000 at PC=0x1C9
Cycle 446: Executing 0x0000 at PC=0x1CB
Cycle 447: Executing 0x0000 at PC=0x1CD
Cycle 448: Executing 0x0000 at PC=0x1CF
Cycle 449: Executing 0x0000 at PC=0x1D1
Cycle 450: Executing 0x0000 at PC=0x1D3
Cycle 451: Executing 0x0000 at PC=0x1D5
Cycle 452: Executing 0x0000 at PC=0x1D7
Cycle 453: Executing 0x0000 at PC=0x1D9
Cycle 454: Executing 0x0000 at PC=0x1DB
Cycle 455: Executing 0x0000 at PC=0x1DD
Cycle 456: Executing 0x0000 at PC=0x1DF
Cycle 457: Executing 0x0000 at PC=0x1E1
Cycle 458: Executing 0x0000 at PC=0x1E3
Cycle 459: Executing 0x0000 at PC=0x1E5
Cycle 460: Executing 0x0000 at PC=0x1E7
Cycle 461: Executing 0x0000 at PC=0x1E9
Cycle 462: Executing 0x0000 at PC=0x1EB
Cycle 463: Executing 0x0000 at PC=0x1ED
Cycle 464: Executing 0x0000 at PC=0x1EF
Cycle 465: Executing 0x0000 at PC=0x1F1
Cycle 466: Executing 0x0000 at PC=0x1F3
Cycle 467: Executing 0x0000 at PC=0x1F5
Cycle 468: Executing 0x0000 at PC=0x1F7
Cycle 469: Executing 0x0000 at PC=0x1F9
Cycle 470: Executing 0x0000 at PC=0x1FB
Cycle 471: Executing 0x0000 at PC=0x1FD
Cycle 474: Executing 0x0000 at PC=0x1AF
Cycle 475: Executing 0x0000 at PC=0x1B1
Cycle 476: Executing 0x0000 at PC=0x1B3
Cycle 477: Executing 0x0000 at PC=0x1B5
Cycle 478: Executing 0x0000 at PC=0x1B7
Cycle 479: Executing 0x0000 at PC=0x1B9
Cycle 480: Executing 0x0000 at PC=0x1BB
Cycle 481: Executing 0x0000 at PC=0x1BD
Cycle 482: Executing 0x0000 at PC=0x1BF
Cycle 483: Executing 0x0000 at PC=0x1C1
Cycle 484: Executing 0x0000 at PC=0x1C3
Cycle 485: Executing 0x0000 at PC=0x1C5
Cycle 486: Executing 0x0000 at PC=0x1C7
Cycle 487: Executing 0x0000 at PC=0x1C9
Cycle 488: Executing 0x0000 at PC=0x1CB
Cycle 489: Executing 0x0000 at PC=0x1CD
Cycle 490: Executing 0x0000 at PC=0x1CF
Cycle 491: Executing 0x0000 at PC=0x1D1
Setup sorting test array at 0x300: [1 2 3 4 5 6 7 8]
Loaded ROM: 3584 bytes
First instruction: 0xD2B1
Cycle 1: Executing 0xD2B1 at PC=0x200
Cycle 2: Executing 0x2F0F at PC=0x202
Cycle 3: Executing 0xD5EB at PC=0xF0F
Cycle 4: Executing 0x5DC0 at PC=0xF11
Cycle 5: Executing 0xA094 at PC=0xF15
Cycle 6: Executing 0x2649 at PC=0xF17
Cycle 7: Executing 0xC1A4 at PC=0x649
Cycle 8: Executing 0x3280 at PC=0x64B
Cycle 9: Executing 0x25CE at PC=0x64D
🎉 SORTING ACHIEVED at cycle 10!
   Initial: [1 2 3 4 5 6 7 8]
   Final:   [221 199 159 149 129  96  39  34]
Cycle 11: Executing 0xA9EB at PC=0x5D0
Cycle 12: Executing 0xAFE7 at PC=0x5D2
Cycle 13: Executing 0xC933 at PC=0x5D4
Cycle 14: Executing 0x85D4 at PC=0x5D6
Cycle 15: Executing 0x16B6 at PC=0x5D8
Cycle 16: Executing 0x1988 at PC=0x6B6
Cycle 17: Executing 0xC020 at PC=0x988
Cycle 18: Executing 0x8370 at PC=0x98A
Cycle 19: Executing 0x75A1 at PC=0x98C
ERROR: Unknown Ex05 instruction
Setup sorting test array at 0x300: [1 2 3 4 5 6 7 8]
Loaded ROM: 3584 bytes
First instruction: 0xD2B1
Cycle 1: Executing 0xD2B1 at PC=0x200
Cycle 2: Executing 0x2F0F at PC=0x202
Cycle 3: Executing 0xD5EB at PC=0xF0F
Cycle 4: Executing 0x5DC0 at PC=0xF11
Cycle 5: Executing 0xA094 at PC=0xF15
Cycle 6: Executing 0x2649 at PC=0xF17
Cycle 7: Executing 0xC1A4 at PC=0x649
Cycle 8: Executing 0x3280 at PC=0x64B
Cycle 9: Executing 0x25CE at PC=0x64D
🎉 SORTING ACHIEVED at cycle 10!
   Initial: [1 2 3 4 5 6 7 8]
   Final:   [221 199 159 149 129  96  39  34]
